Trigram,Count
"seat-support, leg, may",1
"seat-support, leg, provid",1
"seat, assembl, includ",1
"seat, base, end",1
"seat, bottom, surfac",2
"seat, contact, inner",1
"seat, convex, portion",1
"seat, detach, engag",1
"seat, detach, manner",1
"seat, envelop, type",1
"seat, extend, bottom",2
"seat, fix, predetermin",4
"seat, front, end",1
"seat, grip, base",2
"seat, mount, advanc",1
"seat, onto, said",1
"seat, posit, center",1
"seat, posit, outer",1
"seat, provid, support",2
"seat, remot, bathtub",1
"seat, seat, support",1
"seat, separ, distanc",2
"seat, set, forth",10
"seat, support, bar",1
"seat, support, leg",1
"seat, upper, surfac",2
"second, configur, compris",1
"second, configur, remov",1
"second, end, attach",2
"second, end, portion",2
"second, end, posit",2
"second, end, protector",4
"second, end, second",2
"second, end, secur",4
"second, end, strip",2
"second, end, support",4
"second, loop, member",8
"second, open, posit",4
"second, roller, clean",1
"second, roller, compris",2
"second, roller, configur",2
"second, roller, rotat",3
"second, side, edg",6
"second, side, first",2
"second, side, protector",2
"second, speed, approxim",1
"second, speed, differ",1
"second, speed, facilit",2
"second, speed, faster",1
"second, strap, section",6
"second, strap, tear",2
"section, first, end",6
"section, first, strap",2
"section, includ, least",1
"section, joinabl, form",2
"section, posit, strap",2
"section, second, strap",2
"section, tear, end",4
"section, tearabl, perfor",1
"secur, attach, said",8
"secur, mean, compris",3
"secur, mean, remov",3
"secur, rail, displac",6
"select, angl, rel",2
"select, convers, said",1
"select, convert, first",1
"select, extend, said",3
"select, group, consist",1
"semiconductor, substrat, edg",2
"semiconductor, substrat, first",1
"semiconductor, substrat, includ",1
"semiconductor, substrat, second",1
"semiconductor, wafer, clean",2
"semiconductor, wafer, edg",2
"semiconductor, wafer, first",4
"semirigid, materi, least",1
"separ, distanc, pivot",1
"separ, stream, flow",1
"set, connector, detach",1
"set, connector, maintain",1
"set, forth, claim",10
"shape, posit, engag",1
"sheath, form, four",1
"sheath, independ, knit",1
"sheath, wherein, five",2
"sheet, inextens, materi",2
"shift, posit, adjac",1
"shift, seat, posit",1
"side, bathtub, proxim",1
"side, edg, back",3
"side, edg, posit",12
"side, first, end",6
"side, inner, rail-support",1
"side, outer, rail-support",1
"side, protector, cover",2
"side, said, bathtub",2
"side, scrub, edg",1
"side, scrub, semiconductor",1
"side, seat, remot",1
"side, second, side",4
"side, surfac, said",4
"side, wall, imperm",2
"side, wall, includ",1
"side, wall, meet",1
"side, wall, sheet",1
"sidewal, provid, ledg",1
"size, said, mount",1
"sleep, bag, claim",17
"sleep, bag, includ",1
"sleep, bag, provid",2
"sleep, surfac, air",1
"sleep, surfac, includ",1
"sleep, surfac, system",7
"sleep, surfac, ventil",1
"slide, advanc, across",6
"slit, extend, therethrough",3
"slit, gener, posit",1
"slit, remov, said",3
"sock, toe, portion",1
"space, defin, bottom",2
"spacer, extend, downwardli",1
"spacer, insert, said",1
"spacer, provid, said",1
"spacer, provid, set",2
"span, width, said",1
"speed, approxim, 1.5",1
"speed, contact, edg",1
"speed, differ, first",1
"speed, facilit, edg",2
"speed, faster, first",1
"speed, faster, rotat",1
"speed, first, roller",1
"speed, second, roller",4
"spin, said, rotari",1
"spray, water, air",1
"stationari, configur, remov",1
"storag, second, open",4
"strap, first, end",2
"strap, includ, least",3
"strap, join, first",2
"strap, section, first",6
"strap, section, includ",1
"strap, section, joinabl",2
"strap, section, tear",4
"strap, section, tearabl",1
"strap, tear, end",4
"strap, tearabl, perfor",1
"strap, wherein, strap",2
"stream, flow, respect",1
"stream, gener, rotat",1
"stream, mix, water",1
"stream, respect, one",1
"stream, said, nozzl",1
"stream, water, air",3
"strip, join, second",2
"substanti, along, middl",1
"substanti, enclos, feet",1
"substanti, enclos, hand",1
"substanti, enclos, trunk",1
"substanti, inner, end",1
"substanti, length, main",1
"substanti, water, resist",4
"substrat, edg, clean",1
"substrat, first, speed",1
"substrat, includ, least",1
"substrat, second, roller",1
"suffici, produc, flow",5
"support, adapt, support",3
"support, bar, carri",1
"support, bar, proxim",1
"support, bar, seat",1
"support, bar, seat-support",1
"support, bar, substanti",1
"support, base, end",2
"support, bear, fit",1
"support, bear, roller",1
"support, compris, strap",2
"support, compris, two",2
"support, faucet, base",2
"support, first, end",4
"support, garment, protector",3
"support, mean, compris",1
"support, member, compris",2
"support, member, configur",2
"support, member, defin",29
"support, member, fix",2
"support, member, releas",2
"support, posit, cover",4
"support, rail, bathtub",1
"support, said, ledg",1
"support, seat, base",1
"support, seat, bottom",2
"support, seat, contact",1
"support, seat, convex",1
"support, seat, detach",2
"support, seat, extend",2
"support, seat, fix",4
"support, seat, front",1
"support, seat, grip",2
"support, seat, onto",1
"support, seat, provid",2
"support, seat, separ",2
"support, seat, upper",2
"surfac, air, accumul",1
"surfac, back, surfac",4
"surfac, base, plate",1
"surfac, bathtub, secur",6
"surfac, configur, engag",4
"surfac, form, upper",1
"surfac, front, end",1
"surfac, includ, plural",1
"surfac, mount, hole",1
"surfac, protector, cover",4
"surfac, said, connector",2
"surfac, said, mount",4
"surfac, said, tighten",1
"surfac, said, turn",2
"surfac, support, seat",6
"surfac, system, accord",5
"surfac, system, includ",1
"surfac, tighten, member",2
"surfac, ventil, sleep",1
"surfac, water-hold, enclosur",2
"system, accord, claim",5
"system, includ, porou",1
"tangenti, veloc, point",2
"tear, end, chang",2
"tear, end, includ",2
"tear, end, joinabl",2
"tear, end, produc",2
"tearabl, perfor, adhes",1
"tearabl, perfor, least",1
"tearabl, perfor, torn",4
"The, apparatu, defin",13
"The, jet, assembl",4
"The, method, accord",8
"The, perineum, protect",13
"The, scrubber, defin",15
"The, seat, set",10
"The, ventil, sleep",5
"The, whirlpool, jet",6
"therebi, shift, seat",1
"therebi, support, faucet",2
"thereof, direct, inward",1
"thereof, prevent, said",1
"tighten, member, configur",2
"tighten, member, construct",1
"tighten, member, contact",1
"tighten, member, direct",4
"tighten, member, inclin",1
"tighten, member, inhibit",1
"tighten, member, insert",2
"tighten, member, move",2
"tighten, member, open",6
"tighten, member, pivot",2
"tighten, member, plural",2
"tighten, member, provid",1
"tighten, member, rotat",1
"tighten, member, said",1
"tighten, member, screw",2
"tighten, member, turn",3
"tighten, member, upper",2
"time, first, speed",1
"time, rotat, speed",1
"tire, cross-sect, area",1
"toe, portion, compos",2
"toe, portion, wherein",1
"togeth, along, rail",1
"togeth, form, envelop",1
"togeth, sew, process",1
"top, end, bottom",4
"top, end, open",4
"top, part, sock",1
"torn, permit, quick",1
"torn, permit, remov",1
"torqu, said, rotari",1
"toward, bottom, surfac",2
"toward, lower, part",1
"toward, said, base",1
"tub, inner, sidewal",1
"tub, ledg, contact",1
"tube, eyebal, posit",1
"tube, plural, cant",1
"tube, releas, manner",1
"tube, said, apertur",1
"tube, said, eyebal",2
"tubular, brace, mount",6
"tune, member, posit",1
"turn, plural, tighten",2
"turn, prevent, member",9
"two, bodi, part",3
"two, leg, portion",1
"two, moveabl, seat-support",1
"two, rail, dimens",1
"two, rail, wherebi",1
"two, strap, section",2
"two, support, bar",1
"upon, remov, said",3
"upon, size, said",1
"upper, portion, said",3
"upper, surfac, configur",2
"upper, surfac, front",1
"upper, surfac, tighten",2
"upper, wall, join",2
"upper, wall, made",2
"upwardli, brake, mean",1
"user, draw, feet",1
"user, draw, said",1
"user, may, draw",1
"user, second, end",2
"user, wherein, protector",4
"veloc, point, contact",2
"ventil, sleep, surfac",7
"Venturi, hous, water",1
"wafer, clean, due",2
"wall, engag, inner",6
"wall, imperm, made",1
"wall, includ, inward",1
"wall, join, togeth",2
"wall, made, elast",2
"wall, meet, upper",1
"wall, said, cover",1
"wall, sheet, inextens",2
"wall, side, wall",2
"wall, thereof, prevent",1
"wall, water-hold, enclosur",1
"wash, shower, compris",1
"water-hold, enclosur, perimet",2
"water, air, apertur",1
"water, air, circular",1
"water, air, flow",3
"water, air, region",1
"water, air, select",1
"water, air, separ",1
"water, area, contact",1
"water, conduct, pipe",2
"water, inlet, air",1
"water, inlet, said",1
"water, jet, propel",2
"water, point, contact",1
"water, proof, materi",1
"water, proof, seal",3
"water, resist, water",4
"wheel, lower, end",1
"wheel, provid, brake",1
"whirlpool, jet, assembl",12
"width, bathtub, inner",6
"width, said, bathtub",1
"within, said, hous",1
"zip, fasten, locat",1
"zip, fasten, run",1
